sector,country,year,employment,avg_wage,productivity_index,funding_usd_mn
Manufacturing,Italy,2021,520000,38500,102.1,850
Manufacturing,Italy,2022,525000,39750,104.3,910
Manufacturing,Italy,2023,531000,40900,106.2,980
Manufacturing,Italy,2024,538000,42100,109.4,1100
Healthcare,Italy,2021,760000,35200,98.5,620
Healthcare,Italy,2022,775000,36600,101.7,710
Healthcare,Italy,2023,790000,37900,103.8,800
Healthcare,Italy,2024,805000,39200,106.0,890
Finance,Germany,2021,610000,56200,111.2,2100
Finance,Germany,2022,618000,57950,113.5,2300
Finance,Germany,2023,624000,59800,116.1,2500
Finance,Germany,2024,631000,61700,118.8,2680
Energy,France,2020,330000,47100,100.5,1200
Energy,France,2021,333000,48200,101.4,1320
Energy,France,2022,338000,49300,103.2,1500
Energy,France,2023,345000,50700,106.5,1780
Energy,France,2024,351000,52200,109.2,1950
Retail,Spain,2021,920000,28600,94.1,430
Retail,Spain,2022,936000,29700,95.0,470
Retail,Spain,2023,948000,30900,96.8,520
Retail,Spain,2024,962000,32200,99.5,610
Technology,Netherlands,2021,250000,58400,120.5,3600
Technology,Netherlands,2022,268000,61200,126.3,4200
Technology,Netherlands,2023,286000,64400,131.8,4700
Technology,Netherlands,2024,305000,68100,138.7,5400
