sector,country,region,year,total_postings,ai_postings,avg_ai_score,avg_posted_salary,ai_adoption_rate,state_name,median_household_income,per_capita_income,gdp_per_capita,state_population,source
Education,United States,AR,2023,5,0,0.0,,0.0,Arkansas,58700.0,54347.0,60276.0,3114791.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,CA,2023,9,0,0.0,126252.83333333333,0.0,California,95521.0,80423.0,104916.0,39355309.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,CO,2023,2,0,0.0,117500.0,0.0,Colorado,92911.0,78918.0,93026.0,6012561.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,CT,2023,1,0,0.0,37.5,0.0,Connecticut,91665.0,87447.0,100235.0,3688496.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,FL,2023,3,0,0.0,36000.0,0.0,Florida,73311.0,63248.0,73784.0,23462518.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,GA,2023,2,0,0.0,,0.0,Georgia,74632.0,58581.0,78754.0,11302748.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,ID,2023,1,0,0.0,,0.0,Idaho,74942.0,59035.0,63991.0,2029733.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,IL,2023,2,0,0.0,,0.0,Illinois,80306.0,70953.0,90449.0,12719141.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,IN,2023,1,0,0.0,65000.0,0.0,Indiana,69477.0,60038.0,76004.0,6973333.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,KS,2023,1,0,0.0,,0.0,Kansas,70333.0,63732.0,79513.0,2977220.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,KY,2023,1,0,0.0,155000.0,0.0,Kentucky,61118.0,54326.0,64110.0,4606864.0,Wikipedia tables citing ACS income and BEA state GDP
Education,United States,LA,2023,1,0,0.0,,0.0,Louisiana,58229.0,57100.0,71642.0,4618189.0,Wikipedia tables citing ACS income and BEA state GDP
